SYMBOL,PCLOSE,OPEN,HIGH,LOW,CLOSE,CHANGE,%CHANGE,TRADES,VOLUME,VALUE,DATE
UHOMREIT,64,64,0,0,64,0,0,20,160191,10686644,29/07/2025
UNILEVER,72.5,72.5,72.5,72.5,72.5,0,0,218,1044887,75889925.8,29/07/2025
UNIONDICON,9,9,0,0,9,0,0,15,26297,243508.2,29/07/2025
UNIVINSURE,0.72,0.72,0.79,0.72,0.77,0.05,6.94,176,38281244,28833060.82,29/07/2025
UPDC,5.2,5.2,5.68,5.3,5.5,0.3,5.77,281,9012142,49587937.45,29/07/2025
UPDCREIT,9.45,9.45,9.45,9.45,9.45,0,0,191,3342252,31631868.15,29/07/2025
UPL,5.7,5.7,5.7,5.7,5.7,0,0,62,1045921,5958560.66,29/07/2025
VERITASKAP,1.17,1.17,1.21,1.17,1.17,0,0,107,12947296,15503922.86,29/07/2025
VFDGROUP,13,13,14.3,13.5,14,1,7.69,685,20703302,285182674.2,29/07/2025
VITAFOAM,87.85,87.85,79.1,79.1,79.1,-8.75,-9.96,172,853941,67621231.2,29/07/2025
WAPCO,129,129,141.9,127,140.3,11.3,8.76,536,9025452,1245821433,29/07/2025
WAPIC,2.4,2.4,2.6,2.4,2.6,0.2,8.33,122,3403901,8616252.89,29/07/2025
WEMABANK,19.95,19.95,20,19,19.25,-0.7,-3.51,425,12487246,241009724.6,29/07/2025
ZENITHBANK,72.7,72.7,73.15,72,73,0.3,0.41,1002,25608944,1868364847,29/07/2025
FGSUK2033S6,95.5,95.5,95.5,95.5,95.5,0,0,1,2,1910,29/07/2025
FGSUK2032S5,108,108,98,98,98,-10,-9.26,1,6383,6255333.62,29/07/2025
FGSUK2027S3,75.01,75.01,95.5,76,76,0.99,1.32,2,7001,5320948,29/07/2025
NEWGOLD,52100,52100,52105,52105,52105,5,0.01,1,1,52105,29/07/2025
VSPBONDETF,320,320,519.99,226.1,321,1,0.31,5,139,70819.05,29/07/2025
GREENWETF,266.2,266.2,292,270,270,3.8,1.43,2,182,49162,29/07/2025
MERGROWTH,550,550,605,605,605,55,10,2,200,121000,29/07/2025
VETGRIF30,48.9,48.9,48.9,47.5,47.5,-1.4,-2.86,3,300,14390,29/07/2025
VETGOODS,30.2,30.2,30.2,30.2,30.2,0,0,1,318,9603.6,29/07/2025
LOTUSHAL15,55,55,60.5,54,60.5,5.5,10,6,1186,65253,29/07/2025
VETBANK,15.5,15.5,15.5,14.6,15.5,0,0,7,3406,50543,29/07/2025
STANBICETF30,450,450,495,405,489.99,39.99,8.89,35,6041,2494638.14,29/07/2025
ABBEYBDS,7.2,7.2,6.48,6.48,6.48,-0.72,-10,105,754650,4912628.08,30/07/2025
ABCTRANS,5,5,4.89,4.5,4.89,-0.11,-2.2,119,1231511,5796184.5,30/07/2025
ACADEMY,11.26,11.26,0,0,11.26,0,0,200,1193808,13755300.33,30/07/2025
ACCESSCORP,27.2,27.2,27.9,27.45,27.6,0.4,1.47,1446,43051315,1190155166,30/07/2025
AFRIPRUD,15.65,15.65,16.3,15.5,16.3,0.65,4.15,207,2601628,41179890.75,30/07/2025
AIICO,2.27,2.27,2.3,2.21,2.21,-0.06,-2.64,398,15534661,35109097.04,30/07/2025
AIRTELAFRI,2310.5,2310.5,0,0,2310.5,0,0,7,129,327853.5,30/07/2025
ALEX,7.15,7.15,0,0,7.15,0,0,13,9285,68585.05,30/07/2025
ARADEL,512.9,512.9,514.2,513.9,514.1,1.2,0.23,619,2957878,1520582823,30/07/2025
AUSTINLAZ,2.34,2.34,0,0,2.34,0,0,2,521,1225.86,30/07/2025
BERGER,34.1,37.5,37.5,37.5,37.5,3.4,9.97,208,2919874,109468766.6,30/07/2025
BETAGLAS,374,374,0,0,374,0,0,399,145301,57295760.5,30/07/2025
BUACEMENT,135,135,0,0,135,0,0,598,2358401,294509839.9,30/07/2025
BUAFOODS,459,459,0,0,459,0,0,249,417962,184344468.8,30/07/2025
CADBURY,70.95,70.95,73.9,64,68,-2.95,-4.16,829,12403317,862562880.5,30/07/2025
CAP,66.5,66.5,0,0,66.5,0,0,43,120972,8394935.95,30/07/2025
CAVERTON,7.74,7.74,8.49,7.92,8.18,0.44,5.68,205,2367055,19113266.97,30/07/2025
CHAMPION,14.5,14.5,14.5,13.95,13.95,-0.55,-3.79,250,2835301,40642228.62,30/07/2025
CHAMS,3,3,3.05,2.95,3,0,0,387,11110011,33331380.4,30/07/2025
CONHALLPLC,3.47,3.47,3.44,3.13,3.2,-0.27,-7.78,151,10383785,33717576.46,30/07/2025
CONOIL,234.5,234.5,0,0,234.5,0,0,49,7626,1609848.6,30/07/2025
CORNERST,4.9,4.9,4.89,4.87,4.89,-0.01,-0.2,85,4283526,20639509.63,30/07/2025
CUSTODIAN,33,33,0,0,33,0,0,46,142477,5169957.6,30/07/2025
CUTIX,3.9,3.9,3.96,3.87,3.87,-0.03,-0.77,375,11191112,43784575.59,30/07/2025
CWG,17.8,17.8,17.9,17.6,17.9,0.1,0.56,221,3729820,66329040.2,30/07/2025
DAARCOMM,0.95,0.95,0.96,0.95,0.95,0,0,130,2349178,2222053.95,30/07/2025
DANGCEM,509.6,509.6,509.6,509.6,509.6,0,0,725,3585525,1818283278,30/07/2025
DANGSUGAR,64.7,64.7,71.15,70,71.15,6.45,9.97,666,7688890,546761862.4,30/07/2025
DEAPCAP,1.31,1.31,1.32,1.26,1.26,-0.05,-3.82,69,2220635,2847555.14,30/07/2025
ELLAHLAKES,9.8,9.82,9.85,9.3,9.4,-0.4,-4.08,543,12888346,122681702.7,30/07/2025
ENAMELWA,27,27,0,0,27,0,0,16,14866,405708.8,30/07/2025
ETERNA,42.25,42.25,0,0,42.25,0,0,129,507869,20060117,30/07/2025
ETI,36.6,36.6,37.5,37.5,37.5,0.9,2.46,225,25699396,962656903.8,30/07/2025
ETRANZACT,9,9,0,0,9,0,0,61,980603,8433875.05,30/07/2025
EUNISELL,19.6,19.6,21,21,21,1.4,7.14,55,689447,14442359.6,30/07/2025
FCMB,10.3,10.3,10.6,10,10.3,0,0,818,31805806,328404921.7,30/07/2025
FIDELITYBK,20.5,20.5,21.5,20.5,21,0.5,2.44,925,90396980,1898860150,30/07/2025
FIDSON,43.9,43.9,0,0,43.9,0,0,346,1572838,64400820.15,30/07/2025
FIRSTHOLDCO,35.15,35.15,35,34.5,34.9,-0.25,-0.71,508,13890129,484982383.4,30/07/2025
FTNCOCOA,7,7,6.95,6.3,6.3,-0.7,-10,482,13965573,89107584.81,30/07/2025
GEREGU,1141.5,1141.5,0,0,1141.5,0,0,59,2597,2668157.8,30/07/2025
GTCO,98,98.15,101.95,98.15,101.95,3.95,4.03,1384,30257288,3050498770,30/07/2025
GUINEAINS,0.99,0.99,0.99,0.93,0.93,-0.06,-6.06,92,5963847,5794966.54,30/07/2025
GUINNESS,106.45,106.45,0,0,106.45,0,0,20,40993,4798230.65,30/07/2025
HMCALL,4.73,4.73,0,0,4.73,0,0,29,244864,1102476.67,30/07/2025
HONYFLOUR,27,27,27,24.75,25.05,-1.95,-7.22,819,13778216,348161653.2,30/07/2025
IKEJAHOTEL,23.1,23.1,0,0,23.1,0,0,93,392604,8950707.75,30/07/2025
IMG,37.65,37.65,0,0,37.65,0,0,59,209778,7221883.45,30/07/2025
INFINITY,7.7,7.7,0,0,7.7,0,0,1,10,77,30/07/2025
INTBREW,15.05,15.05,15,13.55,14.1,-0.95,-6.31,282,9323555,128233683.6,30/07/2025
INTENEGINS,2.38,2.38,2.55,2.49,2.55,0.17,7.14,49,2245256,5606464.07,30/07/2025
JAIZBANK,3.97,3.97,4,3.9,3.97,0,0,615,19657779,77719409.59,30/07/2025
JAPAULGOLD,2.89,2.89,2.9,2.75,2.77,-0.12,-4.15,333,23963858,67339831.47,30/07/2025
JBERGER,126,126,0,0,126,0,0,92,584624,73980507.8,30/07/2025
JOHNHOLT,8.1,8.1,0,0,8.1,0,0,26,29999,237981.45,30/07/2025
JULI,9.3,9.3,0,0,9.3,0,0,13,11078,102045.4,30/07/2025
LASACO,2.9,2.9,3.07,2.81,3.07,0.17,5.86,84,4397678,13068267.22,30/07/2025
LEARNAFRCA,6.93,6.93,7,7,7,0.07,1.01,86,960955,6800996.48,30/07/2025
LEGENDINT,6.42,6.42,6.63,6.49,6.49,0.07,1.09,95,3430228,22325501.16,30/07/2025
LINKASSURE,1.48,1.5,1.5,1.4,1.49,0.01,0.68,83,3189337,4692377.62,30/07/2025
LIVESTOCK,8.3,8.3,8.6,8.15,8.15,-0.15,-1.81,286,5896523,48317294.85,30/07/2025
MANSARD,13,13,13,13,13,0,0,146,1280667,16637497.24,30/07/2025
MAYBAKER,18.2,18.2,18.1,17.2,17.2,-1,-5.49,188,2371845,41469271.9,30/07/2025
MBENEFIT,1.68,1.68,1.84,1.69,1.84,0.16,9.52,162,24371431,43936644.34,30/07/2025
MEYER,16.5,16.5,0,0,16.5,0,0,41,266507,4346673.6,30/07/2025
MTNN,451.6,451.6,471.1,471.1,471.1,19.5,4.32,1958,6991908,3351486331,30/07/2025
MULTIVERSE,9,9,9.9,9.8,9.9,0.9,10,32,843757,8320783.8,30/07/2025
NAHCO,117,117,110,105.3,110,-7,-5.98,515,5134289,560636316.3,30/07/2025
NASCON,92,92,100,97.95,99.9,7.9,8.59,674,16817299,1663548066,30/07/2025
NB,74,74,78.7,75.1,77,3,4.05,524,29344638,2227648762,30/07/2025
NEIMETH,6.7,6.7,7.36,7,7.36,0.66,9.85,246,4637122,33366597.24,30/07/2025
NEM,24,24,24,24,24,0,0,106,943162,22366090.35,30/07/2025
NESTLE,1890,1890,0,0,1890,0,0,171,97789,193584314.6,30/07/2025
NGXGROUP,74.6,74.6,0,0,74.6,0,0,144,674396,48494003.1,30/07/2025
NIDF,113,113,0,0,113,0,0,83,77782,8608869.1,30/07/2025
NNFM,93.15,93.15,0,0,93.15,0,0,189,653552,55135808.7,30/07/2025
NPFMCRFBK,3.11,3.11,3.42,3.11,3.42,0.31,9.97,187,11863898,39972561.83,30/07/2025
NSLTECH,0.88,0.88,0.88,0.83,0.85,-0.03,-3.41,149,18396227,15616665.1,30/07/2025
OANDO,60.15,60.15,60.2,59.15,59.3,-0.85,-1.41,825,10579865,632460115.2,30/07/2025
OKOMUOIL,1050,1050,0,0,1050,0,0,814,385412,440732692,30/07/2025
OMATEK,1.3,1.3,1.31,1.24,1.27,-0.03,-2.31,118,6866504,8754546.27,30/07/2025
PRESCO,1550,1550,0,0,1550,0,0,486,370710,560658644.5,30/07/2025
PRESTIGE,1.21,1.21,1.2,1.17,1.2,-0.01,-0.83,72,1919198,2296896.04,30/07/2025
PZ,39.45,38.35,43.35,38.35,43.35,3.9,9.89,326,6265784,258533943.6,30/07/2025
REDSTAREX,12.42,12.42,0,0,12.42,0,0,51,501814,5901824.79,30/07/2025
REGALINS,0.83,0.83,0.85,0.81,0.83,0,0,106,5180897,4275396.78,30/07/2025
ROYALEX,1.4,1.4,1.54,1.5,1.54,0.14,10,310,25117784,38566788.81,30/07/2025
RTBRISCOE,3.67,3.67,4.03,3.8,3.8,0.13,3.54,112,2107855,8223396.31,30/07/2025
SCOA,5,5,5,5,5,0,0,51,314716,1630808.06,30/07/2025
SEPLAT,5450,5450,0,0,5450,0,0,184,185369,985180019,30/07/2025
SFSREIT,249.25,249.25,0,0,249.25,0,0,1,616,168876.4,30/07/2025
SKYAVN,81.9,81.9,0,0,81.9,0,0,50,299591,22419416.95,30/07/2025
SOVRENINS,1.89,2.06,2.07,1.95,2.07,0.18,9.52,110,10270642,21228478.75,30/07/2025
STANBIC,101,101,0,0,101,0,0,215,95926,9780455.95,30/07/2025
STERLINGNG,6.7,6.7,6.9,6.6,6.7,0,0,382,12602737,83998807.98,30/07/2025
SUNUASSUR,4.58,4.58,4.48,4.14,4.14,-0.44,-9.61,228,11720371,49569444.7,30/07/2025
TANTALIZER,2.7,2.7,2.7,2.51,2.51,-0.19,-7.04,187,4982158,12980838.21,30/07/2025
THOMASWY,3.19,3.19,3.19,3.19,3.19,0,0,38,358430,1133679.42,30/07/2025
TRANSCOHOT,149.8,149.8,0,0,149.8,0,0,163,288432,43367486.1,30/07/2025
TRANSCORP,52.55,51.5,51.5,50,51,-1.55,-2.95,471,5837387,296864446.8,30/07/2025
